"","x"
"Majed Moqed",0.00408163265306122
"Khalid Al-Mihdhar",0.0043859649122807
"Hani Hanjour",0.0053763440860215
"Nawaf Alhazmi",0.00467289719626168
"Salem Alhazmi*",0.00366300366300366
"Ahmed Alnami",0.00392156862745098
"Ahmed Alghamdi",0.00380228136882129
"Saeed Alghamdi*",0.00469483568075117
"Hamza Alghamdi",0.00467289719626168
"Ahmed Al Haznawi",0.00523560209424084
"Mohand Alshehri*",0.00442477876106195
"Fayez Ahmed",0.0050761421319797
"Ziad Jarrah",0.00625
"Marwan Al-Shehhi",0.00632911392405063
"Mohamed Atta",0.00740740740740741
"Abdul Aziz Al-Omari*",0.00555555555555555
"Waleed Alshehri",0.00465116279069767
"Wail Alshehri",0.00384615384615385
"Satam Suqami",0.00411522633744856
"Raed Hijazi",0.00384615384615385
"Nabil al-Marabh",0.00386100386100386
"Mustafa Ahamend al-Hisawi",0.00568181818181818
"Mamoun Darkazanli",0.00526315789473684
"Zakariya Essabar",0.00552486187845304
"Said Bahaji",0.00558659217877095
"Mounir El Motassadeq",0.00529100529100529
"Zacarias Moussaoui",0.00588235294117647
"Ramzi Bin al-Shibh",0.00609756097560976
"Agus Budiman",0.00555555555555555
"Ahed Khalil Ibrahim Samir Al-Ani",0.00520833333333333
"Lofti Raissi",0.00625
"Rayed Mohammed Abdullah",0.00497512437810945
"Bandar Alhazmi",0.00409836065573771
"Faisal Al Salmi",0.00409836065573771
"Osama Awadallah",0.003690036900369
"Abdussattar Shaikh",0.003690036900369
"Mohamed Abdi",0.00366300366300366
"Mohamed Belfas",0.00421940928270042
"Imad Eddin Baraat Yarkas",0.00564971751412429
"Takek Maaroufi",0.0048780487804878
"Abu Qatada",0.00490196078431373
"Djamal Benghal",0.00473933649289099
"Jerome Courtaillier",0.0045045045045045
"David Courtaillier",0.0045045045045045
"Ahmen Ressam",0.00462962962962963
"Abu Walid",0.00390625
"Jean-Marc Grandvisir",0.0037037037037037
"Abu Zubeida",0.0037037037037037
"Nizar Trabelsi",0.0037037037037037
"Haydar Abu Doha",0.00462962962962963
"Mehdi Khammoun",0.00444444444444444
"Mohammed Bensakhria",0.00462962962962963
"Lased Ben Heni",0.00440528634361234
"Essid Sami Ben Khemail",0.00591715976331361
"Seifallah ben Hassine",0.00458715596330275
"Essoussi Laaroussi",0.00458715596330275
"Tarek Maaroufi",0.0048780487804878
"Fahid al Shakri",0.0043859649122807
"Madjid Sahoune",0.00442477876106195
"Samir Kishk",0.0043859649122807
"Kamel Daoudi",0.00467289719626168
